#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
osmium                                            (plustic:plustic.molten_osmium)                                                  = Molten Osmium
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = Molten Osmiridium
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = Molten Osgloglas
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = Molten Refined Obsidian
alumite                                           (plustic:plustic.molten_alumite)                                                 = Molten Alumite
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Refined Glowstone
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
